"ONTOLOGY","ID","Description","p.adjust","geneID","dbPEC"
"BP","GO:0043547","positive regulation of GTPase activity",2.70601931479609e-06,"CHN1/F2RL1/RIN2/ARHGAP9/VAV3/PTK2B/VAV1/PLCB1/CRKL/ARHGDIB/GNAQ/PLXNB1/RGS9/LLGL1/RASA1/LIMS1/WNT4/DVL2/RASGRF1/RTN4R/NDEL1/RAB11FIP2/EZH2/ARHGDIA/ARRB1/BCR/CCL21/DVL3/GIT1/GNAO1/GSK3B/HRAS/NTF3/NTRK1/PIN1/PRTN3/RAP1A/S1PR1/SOS1/ARHGAP1/CAV2/CCL19/CHML/ECT2/EIF5/EPHA2/NF1/NUP50/RASA3/RGS16/SEMA4D","No"
"BP","GO:0046879","hormone secretion",2.73096823799354e-06,"OPRK1/TCF7L2/PRKCE/ITPR3/CLOCK/STX1A/PHPT1/ADRA2C/INHBB/JAK2/SYT7/RAPGEF4/FOXA2/MYO5A/HNF4A/LRP1/CREB1/RAB11FIP2/ARRB1/BTK/CACNA1A/CPE/HNF1A/RAF1/RAP1A/SNAP25/SNX4/ADRA2B/CACNA1D/CASR/EDN3/FFAR1/FFAR2/GALR1/GHRHR/GRP/HTR1A/HTR2C/LTBP4/MAFA/NLGN2/PTPRN/PTPRN2/RIMS2/SMPD3/TACR2/TFAP2B","Yes"
"BP","GO:0009914","hormone transport",2.86386716281733e-06,"OPRK1/TCF7L2/PRKCE/ITPR3/CLOCK/STX1A/PHPT1/ADRA2C/INHBB/JAK2/SYT7/RAPGEF4/FOXA2/MYO5A/HNF4A/LRP1/CREB1/RAB11FIP2/ARRB1/BTK/CACNA1A/CPE/HNF1A/RAF1/RAP1A/SNAP25/SNX4/ADRA2B/CACNA1D/CASR/CRYM/EDN3/FFAR1/FFAR2/GALR1/GHRHR/GRP/HTR1A/HTR2C/LTBP4/MAFA/NLGN2/PTPRN/PTPRN2/RIMS2/SMPD3/TACR2/TFAP2B","Yes"
"BP","GO:0110053","regulation of actin filament organization",2.86386716281733e-06,"ARPC5/F2RL1/PRKCE/BIN1/PTK2B/VASP/SORBS3/PFN2/DLG1/RASA1/PXN/SPTAN1/WNT4/NF2/NCK1/ACTR2/ARF1/ABL1/ARPC3/CCL21/CFL1/EPS8/FLNA/PAK1/PFN1/RDX/ROCK1/S1PR1/SHANK1/SMAD3/SPTBN4/TRIM27/INPP5K/ITGB1BP1/LPAR1/SPTA1/SPTBN2/TWF2/WASF2","Yes"
"BP","GO:0051966","regulation of synaptic transmission, glutamatergic",2.91180037867586e-06,"SYT1/PTK2B/MEF2C/DRD1/CDK5/DISC1/HOMER1/MAPK8IP2/NTRK1/STXBP1/GRIK1/GRIK3/HTR1B/NLGN2/NRXN1/ROR2","Yes"
"BP","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",2.91180037867586e-06,"STX7/CD28/PRKCZ/IL27RA/CD4/MEF2C/TRAF2/HMGB1/CD81/TNFRSF13C/BTK/EXOSC6/FADD/JAK3/PRKCQ/PTPN6/PTPRC/TRAF6/CCL19/CD226/CD80/FZD5/IL18R1/IL7R/LILRB1/NFKBIZ/PVR/STAT6","Yes"
"BP","GO:0070482","response to oxygen levels",2.94099915677891e-06,"AQP1/STC2/PDK1/TRPC6/CXCR4/PRKCE/CAV1/UBB/ACVRL1/BNIP3L/PTK2B/ATP1B1/PLAU/ITGA2/PSMC6/CAPN2/GNB1/CREB1/BIRC2/ARNT/CREBBP/TRH/PSMB4/PSEN2/CHRNA4/EIF4EBP1/ERCC3/IRAK1/MDM2/MECP2/MYC/NOTCH1/OPRD1/PAK1/PSMD4/RAF1/RBX1/SLC8A1/SMAD3/SRC/SRF/UBQLN1/CASR/CCNB1/KCNMB1/LPAR1/MPL/MYOD1/NF1/POLB/PSMA5/PSMB1/PSMB7/SCFD1/SLC8A3/UCP3","Yes"
"BP","GO:1902905","positive regulation of supramolecular fiber organization",3.09043857166893e-06,"ARPC5/F2RL1/PRKCE/BIN1/PTK2B/VASP/SORBS3/PFN2/DLG1/PXN/WNT4/NF2/NCK1/ACTR2/ARF1/ABL1/AKAP9/APP/ARPC3/CCL21/CDK5RAP2/CFL1/DCTN1/FLNA/MAP1B/MECP2/NUMA1/PAK1/PFN1/PROX1/SMAD3/TRIM27/ITGB1BP1/LPAR1","Yes"
"MF","GO:0001664","G protein-coupled receptor binding",3.32499492901562e-06,"FZD7/WNT1/ADRA2C/POMC/GNAI1/FZD1/C5/NEDD4/JAK2/GNA15/DVL2/PSAP/DLG4/SH3GL1/SDCBP/S1PR2/ARRB1/CCL21/DVL3/FLNA/FYN/GNAZ/ITCH/JAK1/S1PR1/SHANK1/AVPR1A/CCL19/DNM3/DRD3/EDN3/ITGB4/PTCH2/ROR2/SNX5/STAT1/TUB/USP33","Yes"
"BP","GO:0021549","cerebellum development",3.62481372141483e-06,"AIF1/SSTR1/CRKL/WNT1/CKB/EZH2/ABL1/CD3E/CDK5/GRID2/HAP1/MAP2K1/MECP2/NANOS1/NCOA1/PAK1/PROX1/CDK5R2/GLI1/LPAR1/RERE/SPTBN2/UQCRQ","No"
"BP","GO:0061138","morphogenesis of a branching epithelium",3.77481561917116e-06,"CLIC4/WNT1/DLG1/PLXND1/PBX1/HOXA11/WNT4/BTRC/SOX10/ABL1/GNA13/MYC/PAK1/PKD1/PROX1/SOX8/SRC/SRF/CASR/CELSR1/EPHA2/FGFR2/FZD5/HHIP/LAMA1/MAGED1/PAX2/RASIP1/SALL1/SIX1/SIX2/SOX9/WT1","Yes"
"MF","GO:0008528","G protein-coupled peptide receptor activity",3.79874083708545e-06,"OPRK1/F2RL1/CXCR4/SSTR1/CALCR/NPY1R/CCR1/MLNR/OPRD1/RAMP3/AVPR2/CCR4/CXCR3/CXCR5/GALR1/GPR37/HCRTR2/INPP5K/MC1R/MC3R/MC5R/MCHR1/NPR1/OPRL1/OPRM1","No"
"BP","GO:0046579","positive regulation of Ras protein signal transduction",3.85212368067189e-06,"F2RL1/KITLG/VAV1/CRKL/JAK2/RASGRF1/RTN4R/SHC1/ARRB1/COL3A1/HRAS/NOTCH1/NTRK1/EPOR/LPAR1/ROBO1","No"
"BP","GO:0034109","homotypic cell-cell adhesion",3.85212368067189e-06,"PIK3CB/JUP/PDGFRA/CD9/PTPRU/GATA1/PRKG1/PIK3CG/TYRO3/FLNA/PRKCQ/PTPN6/RDX/STXBP1/TLN1/VCL/CLIC1/MEGF11/MPL/P2RY12","Yes"
"BP","GO:0097061","dendritic spine organization",3.85212368067189e-06,"EFNA1/CAPRIN1/ACTR2/DLG4/ARF1/CDK5/CFL1/CTNND2/FYN/HDAC6/HOMER1/IGF1R/INSR/ITGA3/SHANK1/UBE3A/DNM3/EPHA4/LRP8/NGEF","No"
"BP","GO:0050890","cognition",3.85212368067189e-06,"OPRK1/MME/PRKCZ/ITPR3/AMFR/PLCB1/MEF2C/DRD1/CEBPB/RASGRF1/CREB1/SHANK2/ACTR2/DLG4/APP/CDK5/CHRNA4/FYN/FZD9/GRM5/HTT/INSR/ITGA3/KAT2A/MAPK8IP2/MECP2/NTRK1/PRKCG/SHANK1/SNAP25/SRF/SYT4/VDAC1/DEAF1/DGCR2/DRD3/DRD5/LHCGR/LILRB2/NF1/NRXN1/NRXN2/OPRL1/SLC8A3/TACR2","Yes"
"BP","GO:0051588","regulation of neurotransmitter transport",3.86278943760347e-06,"SYT1/STX1A/MEF2C/PFN2/DRD1/GIPC1/CAMK2A/CDK5/CHRNA4/GIT1/GSK3B/PRKCB/PRKCG/RAP1A/SNX4/STXBP1/SYT4/ARL6IP1/CACNA1D/DRD3/HTR1A/HTR1B/HTR2C/LILRB1/NF1/SNCG/TACR2","No"
"BP","GO:0098693","regulation of synaptic vesicle cycle",3.93366339816671e-06,"SYT1/STX1A/PFN2/DRD1/RAPGEF4/SH3GL1/GIPC1/CAMK2A/CDK5/CHRNA4/GIT1/GSK3B/PRKCB/PRKCG/RAP1A/ROCK1/STXBP1/SYT4/CACNA1D/DNM3/HTR1B/NLGN2/NRXN1/PLAA","No"
"BP","GO:0014072","response to isoquinoline alkaloid",3.93366339816671e-06,"OPRK1/AIF1/CXCR4/PRKCE/FADD/GNAO1/MDM2/PRKCG/DRD3/OPRM1/PEA15/PPP1R9B/PPP5C","Yes"
"BP","GO:0043278","response to morphine",3.93366339816671e-06,"OPRK1/AIF1/CXCR4/PRKCE/FADD/GNAO1/MDM2/PRKCG/DRD3/OPRM1/PEA15/PPP1R9B/PPP5C","Yes"
"BP","GO:0099504","synaptic vesicle cycle",4.11057512667206e-06,"SYT1/STX1A/PFN2/SYT7/DRD1/RAPGEF4/SH3GL1/GIPC1/AP3B1/CAMK2A/CDK5/CHRNA4/GIT1/GSK3B/NAPA/PRKCB/PRKCG/RAP1A/ROCK1/SH3GL2/SNAP25/STX3/STXBP1/SYT4/CACNA1D/DNM3/HTR1B/NLGN2/NRXN1/PLAA/RIMS2","No"
"BP","GO:0043409","negative regulation of MAPK cascade",4.16577391403257e-06,"EFNA1/EZR/F2RL1/CAV1/RPS6KA6/PTPRR/DUSP4/TNIP1/DLG1/SEMA6A/PPP2CA/NF2/ABL1/ARRB1/CSK/GPS1/HIPK3/IGF1R/ITCH/MBIP/MYC/NCOR1/PIN1/PTPN6/PTPRC/SIRPA/INPP5K/ITGB1BP1/NF1/PTPRJ/SMPD1/SORL1/STK38","Yes"
"BP","GO:0030072","peptide hormone secretion",4.25686429627465e-06,"TCF7L2/PRKCE/ITPR3/CLOCK/STX1A/PHPT1/ADRA2C/INHBB/JAK2/SYT7/RAPGEF4/FOXA2/MYO5A/HNF4A/LRP1/RAB11FIP2/ARRB1/CACNA1A/CPE/HNF1A/RAF1/RAP1A/SNAP25/CACNA1D/CASR/EDN3/FFAR1/FFAR2/GHRHR/GRP/HTR2C/LTBP4/MAFA/NLGN2/PTPRN/PTPRN2/RIMS2/SMPD3/TACR2/TFAP2B","Yes"
"BP","GO:0048872","homeostasis of number of cells",4.25686429627465e-06,"PIK3CB/KITLG/SPI1/GATA1/SOX6/MEF2C/JAK2/HMGB1/MERTK/UBAP2L/ARNT/TNFRSF13C/EZH2/ABL1/BCR/FADD/FLT3LG/ID2/JAK3/PRMT1/SMAD5/SOS1/SRF/ACIN1/ARID4A/BCL2L11/CCNB2/CCR4/HOXB6/IL7R/JAM3/LAT/MPL/POLB/PRDX1/SOX9/SPTA1/STAT1/TNFRSF17/TNFSF14","Yes"
"BP","GO:0051258","protein polymerization",4.2681882128851e-06,"AIF1/ARPC5/PRKCE/BIN1/PTK2B/VASP/MID1IP1/HSP90AA1/PFN2/DLG1/CHMP2A/RASA1/JAK2/SPTAN1/CKAP5/NCK1/ACTR2/ARF1/VDAC2/ABL1/AKAP9/ARPC3/CCL21/CDK5RAP2/DCTN1/EPS8/MAP1B/MECP2/NUMA1/PAK1/PFN1/RDX/SPTBN4/TRIM27/SPTA1/SPTBN2/TPPP/TWF2/WASF3","Yes"
"CC","GO:0099699","integral component of synaptic membrane",4.33503142086639e-06,"OPRK1/SLC1A6/STX1A/ADRA2C/SYT7/DRD1/PSEN2/CHRNA4/EFNB2/GRID2/OPRD1/SLC8A1/CACNA1D/CHRND/DRD3/EPHA4/FXYD6/GRM3/HTR1B/HTR3A/KCNA2/NLGN2/NRXN1/OPRM1/PCDH8/PTPRA/PTPRO/SLC6A3/SLC8A3","No"
"BP","GO:0010770","positive regulation of cell morphogenesis involved in differentiation",4.39924632255223e-06,"BMPR2/CRKL/CAPRIN1/STK11/LIMS1/TNFRSF12A/LRP1/ACTR2/NDEL1/ABL1/ARHGDIA/CIB1/DISC1/FLNA/MACF1/MAP1B/MAP2K1/PAK1/SRF/EPHA4/GOLGA4/LRP8/MPL/RND2/ROBO1/SEMA4D/TRPC5/TWF2","Yes"
"BP","GO:0030879","mammary gland development",4.39924632255223e-06,"CAV1/PRLR/ITGA2/JAK2/TNFRSF11A/WNT4/CEBPB/CREB1/BTRC/ID2/MSX1/NCOA1/NME1/SRC/BCL2L11/CSF1R/DEAF1/EPHA2/FGFR2/GHRHR/MGMT/ROBO1/RTN4/SLC6A3/SOX9/STAT5A/STAT6/WNT7B","Yes"
"MF","GO:0001653","peptide receptor activity",4.42959778808513e-06,"OPRK1/F2RL1/CXCR4/SSTR1/CALCR/NPY1R/CCR1/MLNR/OPRD1/RAMP3/AVPR2/CCR4/CXCR3/CXCR5/GALR1/GPR37/HCRTR2/INPP5K/MC1R/MC3R/MC5R/MCHR1/NPR1/OPRL1/OPRM1","No"
"CC","GO:0099056","integral component of presynaptic membrane",4.43734436618125e-06,"OPRK1/SLC1A6/STX1A/SYT7/DRD1/PSEN2/CHRNA4/EFNB2/OPRD1/CACNA1D/EPHA4/FXYD6/GRM3/HTR1B/HTR3A/KCNA2/NRXN1/OPRM1/SLC6A3","No"
"BP","GO:0036293","response to decreased oxygen levels",4.48333908777693e-06,"AQP1/STC2/PDK1/TRPC6/CXCR4/PRKCE/CAV1/UBB/ACVRL1/BNIP3L/PTK2B/ATP1B1/PLAU/ITGA2/PSMC6/CAPN2/GNB1/CREB1/BIRC2/ARNT/CREBBP/TRH/PSMB4/PSEN2/CHRNA4/EIF4EBP1/ERCC3/IRAK1/MDM2/MECP2/MYC/NOTCH1/OPRD1/PAK1/PSMD4/RAF1/RBX1/SLC8A1/SMAD3/SRC/SRF/UBQLN1/CASR/CCNB1/KCNMB1/MPL/NF1/PSMA5/PSMB1/PSMB7/SCFD1/SLC8A3/UCP3","Yes"
"MF","GO:0035326","enhancer binding",4.57832475875981e-06,"FLI1/SPI1/CLOCK/GATA1/IRF7/MEF2C/MTA1/CREB1/ARNT/SMARCA4/NFYC/SOX10/GATA4/HDAC1/LMO4/MSX1/NFYA/NR5A1/SIX3/SMAD3/SMARCC1/H3F3B/NONO/RAI1/SOX9/TCF12/TFAP2B","Yes"
"BP","GO:0031532","actin cytoskeleton reorganization",4.58698730733111e-06,"EZR/PDGFRA/PHPT1/PTK2B/ARHGDIB/S1PR2/SHC1/ABL1/ARHGDIA/CDK5/EPS8/FLNA/HRAS/MINK1/NTF3/PAK1/RAP2A/S1PR1/CSF1R/PARVB/PHACTR1","Yes"
"CC","GO:0001772","immunological synapse",4.59729736285416e-06,"EZR/STX7/CD28/DLG1/CD81/CD3E/GZMB/LCK/PRKCQ/CD6/GZMA/LAT/PTPRJ","No"
"BP","GO:0032271","regulation of protein polymerization",4.6310295807668e-06,"ARPC5/PRKCE/BIN1/PTK2B/VASP/HSP90AA1/PFN2/DLG1/RASA1/SPTAN1/NCK1/ACTR2/ARF1/VDAC2/ABL1/AKAP9/ARPC3/CCL21/CDK5RAP2/DCTN1/EPS8/MAP1B/MECP2/NUMA1/PAK1/PFN1/RDX/SPTBN4/TRIM27/SPTA1/SPTBN2/TPPP/TWF2","Yes"
"BP","GO:0010721","negative regulation of cell development",4.68713744064469e-06,"EFNA1/TRPC6/LINGO1/MEIS1/TRAK2/PBX1/TMEM98/LRP1/RTN4R/PCM1/SOX10/APP/ARHGDIA/CDK5/CDK5RAP2/CIB1/COL3A1/EFNB2/GSK3B/ID2/LSM1/MDM2/NOTCH1/PAK1/PAX6/PTK2/SIX3/SOX8/SYT4/UBE3A/DNM3/DRD3/DTX1/EPHA4/ITGB1BP1/ITM2C/LILRB1/LPAR1/NF1/NGEF/PLXNA3/PTPRO/RTN4/SORL1/SOX9/THRB/TP73/TRPC5","Yes"
"BP","GO:0001667","ameboidal-type cell migration",4.75033962618936e-06,"EFNA1/PITX2/JUP/DDR2/PRKCE/KITLG/PTPRR/BMPR2/ACVRL1/PTK2B/ARHGDIB/PRKD1/MEF2C/PFN2/PLXND1/ITGA2/PXN/HMGB1/GIPC1/ABL1/APPL1/BCAR1/CFL1/CIB1/CSNK2B/EFNB2/GNA12/HDAC6/ITGA3/MACF1/MECP2/NANOS1/NOTCH1/PAK1/PDPK1/PFN1/PIK3R3/PRKD2/PROX1/PTK2/SLC8A1/SMURF2/SOX8/SRC/SRF/CAP1/EDN3/EPHA2/EPHB4/FOXP1/ITGB1BP1/ITGB7/KRIT1/NF1/P2RY12/PDCD10/ROBO1/RTN4/SOX9/STAT5A/WASF2","Yes"
"BP","GO:0051783","regulation of nuclear division",4.92061087568677e-06,"CD28/PLCB1/CHMP2A/CENPE/KIF20B/WNT4/BUB1B/CDC25C/CDK5RAP2/INSR/MAD1L1/MAD2L1/MSX1/NDC80/NEK2/NUMA1/PIN1/PLK1/BTC/CAV2/CCNB1/CHMP4C/DRD3/EDN3/FBXW5/KIF11/LRP5/PPP1R9B/PRMT5/SMC5/SMPD3/ZW10","Yes"
"BP","GO:0002699","positive regulation of immune effector process",4.97269773510166e-06,"STX7/CD28/PRKCZ/F2RL1/HK1/VAV1/TRAF2/CD81/LBP/BTK/EXOSC6/FADD/PDPK1/PTPRC/RAP1A/SNX4/STXBP1/TNFRSF4/TRAF6/AP1G1/CADM1/CCL19/CD226/CD80/FFAR2/FZD5/IL18R1/IL18RAP/LILRB1/NCR3/NFKBIZ/PTAFR/PTPRJ/PVR/STAT6","Yes"
"BP","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process",4.97269773510166e-06,"EFNA1/CAV1/UBB/GABARAPL2/CSNK2A2/PTK2B/WNT1/PSMC6/SUMO2/BTRC/SDCBP/GIPC1/CSNK1A1/CSNK2A1/DISC1/GNA12/GSK3B/MDM2/PKD1/PLK1/PRKACA/PRKCG/PTK2/RBX1/SMARCC1/SUMO1/UBE3A/UBQLN1/UBQLN4/EPHA4/FHIT/RNF139/RNF40/TRIM39/UBE2V2","Yes"
"BP","GO:0048813","dendrite morphogenesis",5.00964077419341e-06,"EFNA1/TRPC6/CAPRIN1/TRAK2/STK11/NEDD4/ACTR2/DLG4/CAMK2A/CDK5/CFL1/CTNND2/FYN/GSK3B/HDAC6/MAPK8IP2/MINK1/RAP2A/SHANK1/UBE3A/DNM3/EPHA4/LRP8/NGEF/RERE/SEMA4D/TRPC5","No"
"BP","GO:0051099","positive regulation of binding",5.16430547333974e-06,"TCF7L2/CAV1/AMFR/MEF2C/TRAF2/PLXND1/ITGA2/CDK9/JAK2/HMGB1/PPP2CA/LRP1/ABL1/APP/ARRB1/CDK5/EIF3E/EPB41/GSK3B/MARK3/MED25/NME1/PAX6/PIN1/PKD1/TRAF4/TRAF6/DTX3L/EPHA4/NCBP1/SPTA1/STK3/USP33","Yes"
"BP","GO:0007162","negative regulation of cell adhesion",5.23408739717307e-06,"FZD7/PODXL/CD9/ACVRL1/ARHGDIB/PLXNB1/WNT1/PRKG1/DLG1/ERBB3/SEMA6A/RASA1/JAK2/HMGB1/CEBPB/NF2/LRP1/ABL1/ARHGDIA/CCL21/ITCH/JAK3/MAD1L1/MBP/NOTCH1/PLG/PTK2/PTPN6/PTPRC/RDX/RUNX1/SRC/DTX1/GPNMB/ITGB1BP1/JAM2/LILRB1/LILRB2/NF1/PTPRO/RND1/SEMA4D/TNFRSF21","Yes"
"BP","GO:0003012","muscle system process",5.42557524413648e-06,"CALM1/AIF1/JUP/CXCR4/CAV1/BIN1/ATP1B1/MEF2C/PRKG1/PIK3CG/ADRA2C/SORBS3/DLG1/ITGA2/CDK9/PXN/CALD1/DRD1/ANK2/TPM3/EZH2/CHUK/DMD/FLNA/GATA4/GNAO1/HDAC4/HOMER1/HTR1D/MAP2K6/NOTCH1/PAK1/PIN1/PRKACA/PTK2/ROCK1/SLC8A1/SMAD3/SMAD5/SRF/SUMO1/TLN1/TNNT1/TRPC3/VCL/ADRA1B/ADRA2B/CACNA1D/CHRND/EDN3/HSBP1/KCNQ1/MYL2/MYOD1/MYOZ1/NOS1AP/PTAFR/SLC8A3/TACR2/TNNI1/TRIM63","Yes"
"BP","GO:0071229","cellular response to acid chemical",5.54239945935049e-06,"AQP1/COL1A2/FZD7/PDGFRA/EPHA3/PRKCE/PTGER2/PTK2B/PRKAA2/XRCC5/CAPN2/CEBPB/GNB1/CREB1/AKAP8/COL3A1/FYN/NME1/SRC/YES1/AVPR1A/CCNB1/FFAR2/FGFR2/GLRA2/IPO5/KCNMB1/PAX2/PTAFR/SHMT1/SIX1/SOX9/TWF2/WNT5B/WNT7B","Yes"
"BP","GO:0051098","regulation of binding",5.57931909301786e-06,"TCF7L2/CAV1/AMFR/GATA1/MEF2C/TRAF2/PLXND1/ITGA2/CDK9/JAK2/HMGB1/PPP2CA/LRP1/MDFI/SMARCD3/ABL1/APP/ARRB1/CDK5/CSNK1A1/CSNK2B/DISC1/EIF3E/EPB41/GSK3B/GTF2F1/HDAC4/MARK3/MED25/MSX1/NEK2/NME1/PAX6/PIN1/PKD1/PLK1/PRKACA/ROCK1/SMAD3/SRC/SUMO1/TRAF4/TRAF6/DTX3L/EPHA4/GZMA/ITGB1BP1/NCBP1/SENP2/SORL1/SPTA1/STK3/USP33","Yes"
"BP","GO:0072073","kidney epithelium development",5.70865885901436e-06,"PODXL/MEF2C/WNT1/DLG1/PBX1/HOXA11/WNT4/SMAD1/EFNB2/MYC/PKD1/SMAD3/SMAD5/SMAD6/SOX8/EPHA4/FGFR2/MAGED1/PAX2/PTPRO/SALL1/SIX1/SIX2/SOX9/STAT1/TFAP2B/WNT7B/WT1","Yes"
"BP","GO:0002821","positive regulation of adaptive immune response",6.25974947427858e-06,"STX7/CD28/PRKCZ/IL27RA/CD4/TRAF2/CD81/TNFRSF13C/BTK/EXOSC6/FADD/PRKCQ/PTPRC/TRAF6/CCL19/CD226/CD80/FZD5/IL18R1/NFKBIZ/PVR/STAT6","Yes"
"BP","GO:0060191","regulation of lipase activity",6.25974947427858e-06,"PRKCZ/FURIN/PDGFRA/PCSK6/GNAQ/PLCB2/GNA15/LRP1/ABL1/HRAS/NTF3/PDPK1/ADCYAP1R1/APOA2/AVPR1A/FGFR2/LPAR1/LPAR2/P2RY12/PLAA/PTAFR/SORT1","Yes"
"BP","GO:0010517","regulation of phospholipase activity",6.41999147296885e-06,"PRKCZ/PDGFRA/GNAQ/PLCB2/GNA15/LRP1/ABL1/HRAS/NTF3/PDPK1/ADCYAP1R1/AVPR1A/FGFR2/LPAR1/LPAR2/P2RY12/PLAA/PTAFR","Yes"
"BP","GO:0021543","pallium development",6.62352611554689e-06,"CSNK2A2/PLCB1/CRKL/DRD1/NF2/LRP1/NDEL1/EZH2/CDK5/COL3A1/DISC1/FLNA/GSK3B/HDAC1/NCOA1/NME1/PAX6/PROX1/SRF/XRN2/ALK/CDK5R2/LRP8/NF1/P2RY12/PLXNA3/ROBO1/RTN4/UQCRQ/WDR62/XAB2","No"
"CC","GO:0009898","cytoplasmic side of plasma membrane",6.64160296213019e-06,"TRAF3/EZR/JUP/PTK2B/TRAF2/DLG1/GNA15/TRAF5/GNB1/BIRC2/DLG4/CD2/CHUK/EPB41/PTPRC/SNAP25/TRAF6/ACP1/ANK1/CAV2/PTPN7/RASA3/SNX5/SPTA1","No"
"BP","GO:0002573","myeloid leukocyte differentiation",6.93953041975785e-06,"F2RL1/CD4/KITLG/SPI1/GATA1/IRF7/MEF2C/CD81/TNFRSF11A/CEBPB/CREB1/APP/CCR1/CEBPE/FADD/ID2/MYC/NME1/PRTN3/RUNX1/TRAF6/ACIN1/CCL19/CSF1R/EIF2AK1/EPHA2/FOXP1/GAB3/IL31RA/LILRB1/LTBR/MITF/NF1/ROR2/TFE3","Yes"
"BP","GO:0070588","calcium ion transmembrane transport",6.96586325294062e-06,"CALM1/TRPC6/PRKCE/BIN1/PTK2B/PLCG2/ATP1B1/CALCR/PIK3CG/GRIN2D/DRD1/MYO5A/ANK2/PSEN2/ABL1/CACNA1A/CCL21/DMD/FYN/HAP1/HTT/LCK/PDPK1/PKD1/PRKACA/PTPN6/PTPRC/RAMP3/SLC8A1/SUMO1/TRPC3/UBQLN1/VDAC1/AHNAK/CACNA1D/CCL19/HTR2C/NOS1AP/OPRL1/OPRM1/P2RY12/RASA3/SLC8A3/TRPC4/TRPC5","Yes"
"BP","GO:0007088","regulation of mitotic nuclear division",7.28267924913882e-06,"CD28/CHMP2A/CENPE/KIF20B/BUB1B/CDC25C/CDK5RAP2/INSR/MAD1L1/MAD2L1/NDC80/NEK2/NUMA1/PIN1/PLK1/BTC/CAV2/CCNB1/CHMP4C/DRD3/EDN3/FBXW5/KIF11/LRP5/PPP1R9B/PRMT5/SMC5/SMPD3/ZW10","Yes"
"BP","GO:0030902","hindbrain development",7.28267924913882e-06,"AIF1/SSTR1/CRKL/WNT1/CKB/OTX1/SMAD1/EZH2/ABL1/CD3E/CDK5/FLNA/GRID2/HAP1/KAT2A/MAP2K1/MECP2/NANOS1/NCOA1/PAK1/PROX1/CDK5R2/GLI1/HOXB2/LPAR1/PLXNA2/RERE/SPTBN2/UQCRQ","Yes"
"BP","GO:0060079","excitatory postsynaptic potential",7.44181344587865e-06,"PRKCZ/STX1A/PTK2B/MEF2C/DLG4/SH3GL1/S1PR2/APP/CDK5/CHRNA4/GRID2/GSK3B/MAPK8IP2/MECP2/SHANK1/CHRND/GLRA2/MPP2/NLGN2/NRXN1/OPRM1/RIMS2","No"
"MF","GO:0042562","hormone binding",7.47613095583501e-06,"PRLR/CALCR/SHC1/CHRNA4/IGF1R/INSR/MLNR/AMHR2/AVPR1A/CRYM/GALR1/GHRHR/HCRTR2/LHCGR/MC3R/MC5R/MCHR1/NPR1/PTH1R/SCTR/THRB","Yes"
"BP","GO:0009896","positive regulation of catabolic process",7.6164535621243e-06,"PIK3CB/EZR/FURIN/PRKCE/CAV1/BNIP3L/PTK2B/PRKAA2/PRKD1/HSP90AA1/STK11/NEDD4/PSMC6/CD81/SNX1/SUMO2/LRP1/PIP4K2B/ARNT/CALCOCO2/CSNK1A1/CSNK2A1/DISC1/GSK3B/HDAC6/HTT/INSR/ITCH/MDM2/NANOS1/PIP4K2A/PIP4K2C/PLK1/PTK2/RBX1/RDX/ROCK1/SUMO1/UBQLN1/APOA2/BCL2L11/CNOT7/DAPK1/DDB1/DTX3L/GPD1/HNRNPR/HSPB8/KHSRP/LRSAM1/RNF139/RNF40/SORL1/SOX9/UBE2V2","Yes"
"BP","GO:0051668","localization within membrane",7.6390455658727e-06,"STX7/PRKCZ/GRASP/CRKL/ATP1B1/DLG1/CD81/DLG4/CD2/CDK5/EFNB2/FLNA/FZD9/HRAS/PTPRC/RAB8A/RAP1A/SNAP25/DRD3/FNTA/ITGB1BP1/ITGB7/NRXN1/NRXN2/RER1/SEC31A","Yes"
"BP","GO:0097553","calcium ion transmembrane import into cytosol",7.6390455658727e-06,"CALM1/PRKCE/PTK2B/PLCG2/CALCR/GRIN2D/DRD1/MYO5A/ANK2/ABL1/CCL21/DMD/FYN/HAP1/HTT/LCK/PDPK1/PRKACA/PTPN6/PTPRC/RAMP3/SLC8A1/CCL19/HTR2C/RASA3/SLC8A3","Yes"
"CC","GO:0005938","cell cortex",7.64969338547136e-06,"EZR/EPB41L2/PRKCZ/CAV1/PTK2B/TRAF2/LLGL1/GNAI1/PXN/NEDD4/CALD1/SPTAN1/CAPN2/NF2/ACTR2/DLG4/GIPC1/CFL1/DCTN1/EPB41/EPS8/FLNA/ITCH/NCL/NUMA1/PFN1/PTK2/RDX/SPTBN4/TRAF6/FGFR2/GRM7/MED28/MYO7A/SPTA1/SPTBN2/TRPC4","Yes"
"BP","GO:0002703","regulation of leukocyte mediated immunity",8.17231882841956e-06,"STX7/CD28/PRKCZ/F2RL1/IL27RA/VAV1/TRAF2/HMGB1/CD81/DNASE1/BCR/BTK/EXOSC6/FADD/JAK3/PDPK1/PTPN6/PTPRC/SNX4/STXBP1/TRAF6/AP1G1/CADM1/CD226/FZD5/IL18R1/IL18RAP/IL7R/LILRB1/NCR3/PTAFR/PVR/STAT6","Yes"
